YearMonth,Symbol,Total_Trading_Volume
2018-5,BURST,1.502369E7
2018-6,BURST,1356350.0
2018-1,BUZZ,1067590.0
2018-1,BWK,3670810.0
2017-11,BYC,1937700.0
2017-12,BYC,7660380.0
2018-1,BYC,8514410.0
2017-3,C2,2657860.0
2018-1,CALC,1598510.0
2017-6,CANN,2.104576E7
2017-8,CANN,1.126051E7
2017-9,CANN,1909160.0
2017-11,CANN,1103520.0
2017-12,CANN,1.0679319E8
2018-1,CANN,7.001182E7
2018-1,CHAT,1.4396256E8
2018-2,CHAT,2.3871559E8
2018-3,CHAT,1.4924771E8
2018-4,CHAT,1.6401405E8
2018-5,CHAT,1.4100627E8
2018-6,CHAT,3267330.0
2017-7,CHC,3.584209E7
2018-1,CJ,5989870.0
2018-4,CKUSD,2.6230674E9
2018-5,CKUSD,4.6611677E9
2018-6,CKUSD,1.977306E8
2017-3,CLAM,1323970.0
2017-4,CLAM,1881740.0
2017-5,CLAM,4.55926E7
2017-6,CLAM,3.08808E7
2017-7,CLAM,8827410.0
2017-8,CLAM,2.509743E7
2017-9,CLAM,9100570.0
2017-10,CLAM,4.505283E7
2017-11,CLAM,6061020.0
2017-12,CLAM,2.562575E7
2018-1,CLAM,2.098153E7
2014-6,CLOAK,1270520.0
2017-6,CLOAK,1.550998E7
2017-7,CLOAK,1006920.0
2017-9,CLOAK,2.115457E7
2017-12,CLOAK,5.38239E7
2018-1,CLOAK,5.587872E7
2018-2,CLOAK,4124110.0
2018-3,CLOAK,6.281461E7
2018-4,CLOAK,1.2981933E8
2018-5,CLOAK,1.3632354E8
2017-6,CLUB,1000870.0
2017-10,CLUB,2198300.0
2017-11,CLUB,9.009277E7
2017-12,CLUB,6.401576E7
2018-1,CLUB,8090370.0
2018-3,CLUB,1988180.0
2018-2,CME,1018830.0
2017-12,CMPCO,1499980.0
2018-1,CMPCO,4262310.0
2018-3,CNX,3556940.0
2018-4,CNX,4.438885E7
2018-5,CNX,5.230927E7
2018-6,CNX,3003850.0
2017-12,COLX,1.222864E7
2018-1,COLX,6815960.0
2018-5,COLX,1480970.0
2018-1,COUPE,4007540.0
2017-9,CPC,4369660.0
2017-12,CPC,3.396315E7
2018-1,CPC,2.709738E7
2018-3,CPC,1712080.0
2017-12,CRDNC,4074180.0
2018-1,CREA,1007050.0
2017-8,CRW,2792860.0
2017-12,CRW,1316960.0
2018-1,CRW,3430190.0
2018-1,CRX,1628870.0
2014-6,CRYPT,1.050005E7
2017-8,CURE,1098580.0
2017-11,CURE,1.468914E7
2017-12,CURE,1176050.0
2018-1,CURE,3790850.0
2018-1,CYDER,2678980.0
2014-4,DASH,1204200.0
2014-5,DASH,5.649314E7
2014-6,DASH,2.65874E7
2014-7,DASH,1070360.0
2016-1,DASH,2974510.0
2016-8,DASH,3.152994E7
2016-9,DASH,2573150.0
2016-10,DASH,1.441367E7
2016-11,DASH,1.646442E7
2016-12,DASH,4.771178E7
2017-1,DASH,9.238081E7
2017-2,DASH,9.112044E7
2017-3,DASH,1.05931043E9
2017-4,DASH,5.1800904E8
2017-5,DASH,9.216917E8
2017-6,DASH,1.513357E9
2017-7,DASH,1.3913811E9
2017-8,DASH,1.8768181E9
2017-9,DASH,1.5277268E9
2017-10,DASH,1.3054496E9
2017-11,DASH,4.9058237E9
2017-12,DASH,8.446004E9
2018-1,DASH,5.1975581E9
2018-2,DASH,2.7477373E9
2018-3,DASH,3.1802545E9
2018-4,DASH,2.7915369E9
2018-5,DASH,3.3743871E9
2018-6,DASH,1.629683E8
2018-1,DAV,1115390.0
2017-7,DBIX,4104580.0
2017-10,DBIX,2097390.0
2018-1,DBIX,2.538315E7
2017-3,DCR,3.791947E7
2017-4,DCR,3.110793E7
2017-5,DCR,5.075914E7
2017-6,DCR,1.0067546E8
2017-7,DCR,3.740621E7
2017-8,DCR,3.497978E7
2017-9,DCR,3.419876E7
2017-10,DCR,9290350.0
2017-11,DCR,9.297011E7
2017-12,DCR,1.4642502E8
2018-1,DCR,1.2287242E8
2018-2,DCR,3.016915E7
2018-3,DCR,1.128216E7
2018-4,DCR,2.7822221E8
2018-5,DCR,2.7392892E8
2018-6,DCR,5722580.0
2017-7,DCT,3.448768E7
2017-8,DCT,7.890437E7
2017-9,DCT,1.623626E7
2017-11,DCT,8911010.0
2017-12,DCT,1.0991072E8
2018-1,DCT,7.99846E7
2018-2,DCT,9968900.0
2018-3,DCT,1.730446E7
2018-4,DCT,4.33395E7
2018-5,DCT,7.171639E7
2018-6,DCT,1111280.0
2018-5,DEV,5928680.0
2018-1,DFS,2.096846E7
2018-3,DFT,2102660.0
2016-3,DGB,5490250.0
2017-4,DGB,1.350711E7
2017-5,DGB,4.6218379E8
2017-6,DGB,1.35045549E9
2017-7,DGB,2.7288785E8
2017-8,DGB,2.9889632E8
2017-9,DGB,2.4114349E8
2017-10,DGB,1.5303584E8
2017-11,DGB,1.1096682E8
2017-12,DGB,1.51570617E9
2018-1,DGB,1.44124987E9
2018-2,DGB,1.5610153E8
2018-3,DGB,7.4759E7
2018-4,DGB,1.6917358E8
2018-5,DGB,1.6594251E8
2018-6,DGB,4985710.0
2017-7,DGC,9141920.0
2018-1,DIME,1.693413E7
2017-5,DMC,1084260.0
2017-7,DMC,2324490.0
2017-8,DMC,6062830.0
2017-9,DMC,1.180117E7
2017-10,DMC,1.06927E7
2017-6,DMD,5623600.0
2017-12,DMD,2294180.0
2018-1,DMD,1.307427E7
2014-1,DOGE,6.36534E7
2014-2,DOGE,8.605694E7
2014-3,DOGE,4.443761E7
2014-4,DOGE,3.614668E7
2014-5,DOGE,1222410.0
2014-6,DOGE,5195000.0
2014-8,DOGE,1430870.0
2014-9,DOGE,3.271746E7
2014-10,DOGE,8002420.0
2014-11,DOGE,1.988087E7
2014-12,DOGE,1050380.0
2015-6,DOGE,1467650.0
2015-7,DOGE,1504540.0
2016-1,DOGE,1.67573E7
2016-3,DOGE,1369190.0
2016-6,DOGE,1283070.0
2016-7,DOGE,1777410.0
2016-8,DOGE,1567680.0
2017-3,DOGE,9536050.0
2017-4,DOGE,6.467063E7
2017-5,DOGE,8.3835669E8
2017-6,DOGE,6.5379049E8
2017-7,DOGE,2.0126193E8
2017-8,DOGE,1.5906782E8
2017-9,DOGE,2.6762409E8
2017-10,DOGE,1.0943984E8
2017-11,DOGE,1.5903706E8
2017-12,DOGE,1.60028075E9
2018-1,DOGE,2.2799391E9
2018-2,DOGE,6.0463898E8
2018-3,DOGE,2.8973401E8
2018-4,DOGE,5.8630774E8
2018-5,DOGE,6.127713E8
2018-6,DOGE,1.135527E7
2017-6,DOPE,4832490.0
2017-7,DOPE,2466840.0
2017-8,DOPE,1280950.0
2017-9,DOPE,7056650.0
2017-12,DOPE,7.18224E7
2018-1,DOPE,1.844842E7
2017-7,DYN,1895170.0
2017-11,DYN,1150680.0
2017-12,DYN,3.8812E7
2018-1,DYN,4.935023E7
2018-2,DYN,9429330.0
2018-3,DYN,2.519221E7
2018-4,DYN,2.172983E7
2017-11,EAG,1003800.0
2017-6,EBST,1502100.0
2017-8,EBST,1166150.0
2017-9,EBST,2.94367E7
2017-10,EBST,2023430.0
2017-12,EBST,2.197761E7
2018-1,EBST,1.3507947E8
2018-4,EBST,9714140.0
2018-5,EBST,2.623428E7
2017-9,EBT,1032650.0
2017-12,ECA,5069300.0
2018-1,ECA,1.917244E7
2018-4,ECA,3406750.0
2018-5,ECA,8153990.0
2017-6,ECC,1099470.0
2018-1,ECC,5239780.0
2016-8,EDR,8675880.0
2016-11,EDR,2043730.0
2016-12,EDR,2770230.0
2017-1,EDR,5183460.0
2017-2,EDR,3.116418E7
2017-3,EDR,9541430.0
2017-4,EDR,3343450.0
2017-8,EDR,4206650.0
2017-10,EDR,4918040.0
2017-11,EDR,1.88921E7
2018-1,EDR,6486220.0
2016-6,EDRC,1.395713E7
2016-7,EDRC,2.436663E7
2017-11,EFL,3675020.0
2017-12,EFL,1529690.0
2018-1,EFL,3658260.0
2017-8,EGC,6647770.0
2017-9,EGC,5063760.0
2017-10,EGC,1141620.0
2017-12,EGC,1.330438E7
2018-2,ELA,1.9219186E9
2018-3,ELA,7.5774005E8
2018-4,ELA,5.732508E8
2018-5,ELA,5.4932774E8
2018-6,ELA,3.66601E7
2017-8,EMB,1154580.0
2017-12,EMB,5046070.0
2018-1,EMB,5908990.0
2016-7,EMC,3752320.0
2017-5,EMC,1.545602E7
2017-6,EMC,4.418046E7
2017-7,EMC,4599810.0
2017-8,EMC,6155010.0
2017-9,EMC,2706670.0
2017-11,EMC,1175480.0
2017-12,EMC,3.063908E7
2018-1,EMC,1.0088051E8
2018-2,EMC,2.098423E7
2018-3,EMC,1096290.0
2018-4,EMC,1.1341098E8
2018-5,EMC,3.63478E7
2018-6,EMC,3193990.0
2016-7,EMC2,1658610.0
2017-4,EMC2,2571610.0
2017-5,EMC2,1.168959E7
2017-6,EMC2,1.317702E7
2017-7,EMC2,7456950.0
2017-8,EMC2,1.344283E7
2017-9,EMC2,6.788945E7
2017-10,EMC2,7.992921E7
2017-11,EMC2,3.5415977E8
2017-12,EMC2,2.33738783E9
2018-1,EMC2,6.5847257E8
2018-2,EMC2,2.3768686E8
2018-3,EMC2,2.7362104E8
