Symbol,week,total_trading_volume
OC,11,9.082512E7
POA,11,1.375263E7
UNB,11,4069250.0
XZC,11,1.855065E7
HSR,11,1.236387E8
XAS,11,1.259945E7
BTS,10,1.0183247E8
BSD,10,2362570.0
NANO,10,4.224275E8
VRC,10,3.455111E7
NEBL,10,3.905579E7
XMR,10,8.7770636E8
PPC,10,4921490.0
ZEC,10,4.2370954E8
XZC,10,1.925836E7
EMC,10,1096290.0
RADS,10,2994930.0
XAS,10,1.177833E7
EDR,10,3428640.0
DYN,10,3016130.0
MONA,10,2.409579E7
SIB,10,3501920.0
MEME,10,1836740.0
HSR,10,2.288368E8
DOGE,10,1.0832347E8
GRS,10,1092400.0
ETC,10,3.11862527E9
GXS,10,3.887529E7
KORE,10,3.406407E7
QTUM,10,8.809751E8
SLS,10,2.0661112E8
VTC,10,1.670234E7
DCT,10,7752320.0
ETP,10,1.299516E7
AUR,10,8928580.0
BITB,10,1.56116E7
SC,10,4.268249E7
BTX,10,1.122845E7
LET,10,3.960228E7
UNB,10,2.672233E7
LBC,10,7942300.0
MUE,10,8499500.0
BCX,10,6233800.0
RVR,10,1.301504E7
SBC,10,1583810.0
POA,10,2.815014E7
CLOAK,10,1.746044E7
EXP,10,7261380.0
ELA,10,1.6132171E8
DASH,10,9.3511323E8
CPC,10,1712080.0
VIA,10,3.1763188E8
XVC,10,1020730.0
BAY,10,2175790.0
BLOCK,10,5602720.0
OF,10,7171130.0
XLM,10,3.571128E8
NXS,10,1.3362012E8
SBD,10,2.343718E7
OK,10,4072240.0
BCD,10,1.3316279E8
CHAT,10,3.10941E7
$PAC,10,1628290.0
ETH,10,1.38425702E10
FRGC,10,5169030.0
ZCL,10,9.359205E7
LSK,10,1.950915E8
NEO,10,1.333796E9
XDN,10,2.915702E7
KMD,10,1.265269E7
SHIFT,10,8232490.0
BURST,10,9147100.0
CLUB,10,1988180.0
TX,10,2.811297E7
MZC,10,1043060.0
SYS,10,1.892141E7
ADA,10,1.208931E9
BLK,10,9598830.0
EXCL,10,7884530.0
DGB,10,1.793079E7
STEEM,10,3.542904E7
BCH,10,3.049025E9
DCR,10,5553150.0
ATB,10,1.875694E7
ION,10,2.596581E7
BTC,10,5.27843538E10
UBTC,10,1079720.0
XEL,10,2049380.0
SPHR,10,5249580.0
LTC,10,5.01769828E9
ZEN,10,9421330.0
ATMC,10,6.173866E8
PIVX,10,1.342808E7
ARK,10,1.180495E7
UBQ,10,6962770.0
ARDR,10,2.30095E7
OC,10,8.956846E7
NMC,10,1183350.0
PURA,10,1899720.0
FTC,10,9790510.0
XVG,10,9.426321E7
GBYTE,10,8237850.0
MIOTA,10,3.114346E8
USNBT,10,1.3253328E8
GAME,10,1.129383E7
WAVES,10,1.7530713E8
XEM,10,2.9370694E8
BCN,10,2.744326E7
FCT,10,5.111262E7
HT,10,7.734777E8
